alpha,beta,log_evidence,rmse,mae,r2,coverage_95,coefficient_norm,top_5_features
0.0001,57.00856419145014,-137.1766639694947,0.13228834753565422,0.09403234483061777,0.6346187703187278,0.949874686716792,0.5056788881076385,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
3.8311868495572927,57.00856419145014,389.76679142664534,0.13221409880798846,0.09396294862363866,0.6350288061023277,0.949874686716792,0.48970710909278337,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
10.0,57.00856419145014,436.6412023395219,0.1321077483970665,0.09385772506058801,0.6356157212021758,0.949874686716792,0.46736379300401143,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctHousOwnOcc
26.101572156825387,57.00856419145014,482.1147020950857,0.13188771082317532,0.09362224621541357,0.6368285412152628,0.949874686716792,0.4225862179368163,PctRecImmig8; PctRecImmig10; PersPerOccupHous; PctPersOwnOccup; PctLargHouseOccup
68.12920690579622,57.00856419145014,525.0432591627107,0.13153606454497802,0.09324253567597852,0.638762574949351,0.9473684210526315,0.3533680493714664,PctRecImmig8; PersPerOccupHous; PctRecImmig10; racepctblack; whitePerCap
177.82794100389228,57.00856419145014,564.0696399333006,0.13115493393320068,0.09279487526745894,0.6408529396992038,0.9473684210526315,0.2779047748806264,PctRecImmig8; PersPerOccupHous; racepctblack; whitePerCap; PctRecImmig10
464.1588833612782,57.00856419145014,597.3918285791735,0.1309086718162847,0.09237862767737275,0.6422003732922552,0.9473684210526315,0.21480727219460943,racepctblack; PersPerOccupHous; whitePerCap; PctRecImmig8; RentLowQ
1211.5276586285902,57.00856419145014,622.4052655972805,0.13086741441843838,0.09201388110585709,0.6424258672210198,0.949874686716792,0.1639790535600828,racepctblack; PctIlleg; RentLowQ; whitePerCap; PersPerOccupHous
3162.2776601683795,57.00856419145014,636.1076873289419,0.13089788716242018,0.09165843952364912,0.6422593241031647,0.9473684210526315,0.12280965294549677,racepctblack; PctIlleg; RentLowQ; PctWorkMom; NumStreet
8254.04185268019,57.00856419145014,635.0116626229162,0.13089793940993322,0.09160111597034802,0.6422590385207958,0.9473684210526315,0.09211209046855103,racepctblack; PctIlleg; NumStreet; PctKids2Par; racePctWhite
21544.346900318866,57.00856419145014,613.2546183156473,0.13126649163113827,0.09217183523751592,0.6402417136086047,0.9473684210526315,0.07111978288093809,racepctblack; PctIlleg; racePctWhite; NumStreet; PctKids2Par
56234.13251903491,57.00856419145014,559.6427010587629,0.13286029568367355,0.09383092321780477,0.6314524917804675,0.9473684210526315,0.05662906846096081,racepctblack; PctIlleg; racePctWhite; PctKids2Par; PctFam2Par
146779.92676220735,57.00856419145014,455.63584127078684,0.13677019131105034,0.09734556033060217,0.6094416217001424,0.9473684210526315,0.04515498003071594,racepctblack; PctIlleg; racePctWhite; PctKids2Par; PctFam2Par
383118.6849557293,57.00856419145014,280.8876278500684,0.14462938375834097,0.10473250141198234,0.5632668868052151,0.9373433583959899,0.03440989894845219,racepctblack; PctIlleg; racePctWhite; PctKids2Par; PctFam2Par
1000000.0,57.00856419145014,35.41797584061851,0.15895131972718404,0.11917843664567407,0.47248923577403723,0.9273182957393483,0.023735462199043076,PctIlleg; racepctblack; racePctWhite; PctKids2Par; PctFam2Par
